Data;DataExcel;SetorIndustrial;Regiao;Consumo;DataVersao
20250801;01/08/2025;05 - EXTRAÇÃO DE CARVÃO MINERAL;Centro-Oeste;2.366;22/09/2025
20250801;01/08/2025;05 - EXTRAÇÃO DE CARVÃO MINERAL;Nordeste;49.138.999.999.999.900;22/09/2025
20250801;01/08/2025;05 - EXTRAÇÃO DE CARVÃO MINERAL;Norte;37.302;22/09/2025
20250801;01/08/2025;05 - EXTRAÇÃO DE CARVÃO MINERAL;Sudeste;19.127.637.999.999.900;22/09/2025
20250801;01/08/2025;05 - EXTRAÇÃO DE CARVÃO MINERAL;Sul;4.497.547;22/09/2025
20250801;01/08/2025;06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;Centro-Oeste;1.671;22/09/2025
20250801;01/08/2025;06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;Nordeste;9.828.838.299.999.990;22/09/2025
20250801;01/08/2025;06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;Norte;74.479;22/09/2025
20250801;01/08/2025;06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;Sudeste;11.982.492;22/09/2025
20250801;01/08/2025;06 - EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL;Sul;28.472.690.000.000.000;22/09/2025
20250801;01/08/2025;07 - EXTRAÇÃO DE MINERAIS METÁLICOS;Centro-Oeste;70.007.876;22/09/2025
20250801;01/08/2025;07 - EXTRAÇÃO DE MINERAIS METÁLICOS;Nordeste;133.064.013;22/09/2025
20250801;01/08/2025;07 - EXTRAÇÃO DE MINERAIS METÁLICOS;Norte;367.356.251;22/09/2025
20250801;01/08/2025;07 - EXTRAÇÃO DE MINERAIS METÁLICOS;Sudeste;768.826.688;22/09/2025
20250801;01/08/2025;07 - EXTRAÇÃO DE MINERAIS METÁLICOS;Sul;779.694;22/09/2025
20250801;01/08/2025;08 - EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;Centro-Oeste;73.302.541;22/09/2025
